figure,desc,
Figure 8.4.4.1-1: SCG Activation or Deactivation in SN Addition procedure," The MN sends the SN Addition Request message to the SN, indicates the request of SCG activation or
deactivation.
2. The SN-CU-CP may send the BEARER CONTEXT SETUP REQUEST message to the SN-CU-UP to setup
bearer context and notify the activation or deactivation of the SCG.
3. The SN-CU-UP sends the BEARER CONTEXT SETUP RESPONSE message to the SN-CU-CP.
4. The SN-CU sends the UE CONTEXT SETUP REQUEST message to the SN-DU to setup UE context and
indicate the request of SCG activation or deactivation.
5. The SN-DU sends the UE CONTEXT SETUP RESPONSE message to the SN-CU, indicates the SCG status. In
case SCG activation is requested, the SN-DU shall indicate SCG activated in the message.
6. The SN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the SN-CU-UP as
described in clause 8.9.2 and may notify the SCG status if needed.
7. The SN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the SN-CU-CP.
8. The SN sends the SN Addition Request Acknowledge message to the MN, indicates the SCG status. In case SCG
activation is requested, the SN shall indicate SCG activated in the message.
9. The MN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the MN-CU-UP
to notify the SCG status.
10. The MN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the MN-CU-CP.",61.png
Figure 8.4.4.2-1: SCG Activation or Deactivation in MN initiated SN Modification procedure,"1. SCG is deactivated or activated.
2. The MN sends the SN Modification Request message to the SN, indicates the request of SCG activation or
deactivation.
3. The SN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the SN-CU-UP to
notify the SCG activation or deactivation.
4. The SN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the SN-CU-CP.
5. The SN-CU sends the UE CONTEXT MODIFICATION REQUEST message to the SN-DU to indicate the
request of SCG activation or deactivation.
6. The SN-DU may send the UE CONTEXT MODIFICATION RESPONSE message to the SN-CU, indicates the
SCG status.
7. The SN-CU-CP sends the BEARER CONTEXT MODIFICATION REQUEST message to the SN-CU-UP to
notify the SCG status.
8. The SN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the SN-CU-CP.
NOTE: Step 7 and 8 may be skipped in case the SN-DU accepted the SCG activation or deactivation request.
9. The SN sends the SN Modification Request Acknowledge message towards the MN, indicates the SCG status.
10. The MN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the MN-CU-UP
to notify the SCG status.
11. The MN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the MN-CU-CP.",62.png
Figure 8.4.4.3-1: SCG Activation or Deactivation in SN initiated SN Modification procedure,"1. SCG is deactivated or activated.
2. The SN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the SN-CU-UP to
notify the SCG activation or deactivation.
3. The SN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the SN-CU-CP.
4. The SN-CU sends the UE CONTEXT MODIFICATION REQUEST message to the SN-DU to indicate the
request of SCG activation or deactivation.
5. The SN-DU sends the UE CONTEXT MODIFICATION RESPONSE message to the SN-CU, indicates the SCG
status.
6. The SN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the SN-CU-UP to
notify the SCG status.
7. The SN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the SN-CU-CP.
NOTE 1: Step 6 and 7 may be skipped in case the SN-DU accepted the SCG activation or deactivation request.
8. The SN sends the SN Modification Required message to the MN, indicates the request of SCG activation or
deactivation.
9. The MN-CU-CP may send the BEARER CONTEXT MODIFICATION REQUEST message to the MN-CU-UP
to notify the SCG status.
10. The MN-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the MN-CU-CP.
NOTE 2: Based on implementation, step 9 and 10 can be performed after step 11.
11. The MN sends the SN Modification Confirm message to the SN.
NOTE 3: Step 8-11 are not performed in case the SN-DU rejected the SCG activation or deactivation request.",63.png
"Figure 8.5-1: F1 startup and cell activation
","0. The gNB-DU and its cells are configured by OAM in the F1 pre-operational state. The gNB-DU has TNL
connectivity toward the gNB-CU.
1. The gNB-DU sends an F1 SETUP REQUEST message to the gNB-CU including a list of cells that are configured
and ready to be activated. For each cell supporting NPN the gNB-DU includes NPN specific information.
2. In NG-RAN, the gNB-CU ensures the connectivity toward the core network. For this reason, the gNB-CU may
initiate either the NG Setup or the gNB Configuration Update procedure towards 5GC.
3. The gNB-CU sends an F1 SETUP RESPONSE message to the gNB-DU that optionally includes a list of cells to
be activated. The cells in the list of cells to be activated in F1 SETUP RESPONSE message become active,
while the cells not in the list are inactive. The cells that are active are Out-of-Service until the gNB-DU indicates
that they are In-Service . The gNB-DU will initiate the gNB-DU Configuration Update procedure towards the
gNB-CU and includes the cell(s) that are In-Service and/or the cell(s) that are Out-Of-Service. The gNB-DU
may also indicate cell(s) to be deleted, in which case the gNB-CU removes the corresponding cell(s)
information.
4. The gNB-CU may send a GNB CU CONFIGURATION UPDATE message to the gNB-DU that optionally
includes a list of cells to be activated, e.g., in case that these cells were not activated using the F1 SETUP
RESPONSE message.
5. The gNB-DU replies with a GNB CU CONFIGURATION UPDATE ACKNOWLEDGE message that optionally
includes a list of cells that failed to be activated. The gNB-CU regards all Active cells as Out-Of-Service until
the gNB-DU indicates that they are In-Service.
6. The gNB-CU may initiate either the Xn Setup towards a neighbour NG-RAN node or the EN-DC X2 Setup
procedure towards a neighbour eNB.
NOTE 1: For NG-RAN in case that the F1 SETUP RESPONSE message is not used to activate any cell, step 2 may
be performed after step 3.
Over the F1 interface between a gNB-CU and a gNB-DU pair, the following two Cell States are possible:
-
 Inactive: the cell is known by both the gNB-DU and the gNB-CU. The cell shall not serve UEs;
-
Active: the cell is known by both the gNB-DU and the gNB-CU. The cell should try to provide services to the
UEs.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 54
 ETSI TS 138 401 V17.6.0 (2023-10)
The gNB-CU decides whether the Cell State should be “Inactive“ or “Active“. The gNB-CU can request the gNB-DU
to change the Cell State using the F1 SETUP RESPONSE, theGNB DU CONFIGURATION UPDATE
ACKNOWLEDGE, or the GNB CU CONFIGURATION UPDATE messages.
The gNB-DU reports to the gNB-CU the Service Status. The Service Status is the state of the radio transmission
over the air. The Service Status is reported by the gNB-DU for cells for which the Cell State is “Active “. The
following Service Status are defined:
-
 In-Service: the cell is operational and able to serve UEs.
-
 Out-Of-Service: the cell is not operational, and it is not able to serve UEs. The gNB-DU is trying to make the cell
operational.
The gNB-DU reports the Service Status using the GNB DU CONFIGURATION UPDATE message.
NOTE 2: If gNB-DU regards that one or more cells cannot become operational, the gNB-DU deletes them and
reports them using the GNB DU CONFIGURATION UPDATE message.",64.png
"Figure 8.6.1-1: RRC connected to RRC inactive state transition procedure
","e RRC connected to RRC inactive state transition given that gNB consists of gNB-CU and gNB-
DU(s), as shown in Figure 8.6.1-1.0. At first, the gNB-CU determines the UE to enter into RRC inactive mode from connected mode.
1. The gNB-CU generates RRCRelease message which includes suspend configuration towards UE. The RRC
message is encapsulated in UE CONTEXT RELEASE COMMAND message to the gNB-DU.
2. The gNB-DU forwards RRCRelease message to UE.
3. The gNB-DU responds with UE CONTEXT RELEASE COMPLETE message.",65.png
"Figure 8.6.2-1: RRC inactive to other RRC states transition procedure
","1. If data is received from 5GC, the gNB-CU sends PAGING message to the gNB-DU.
2. The gNB-DU sends Paging message to UE.
NOTE:
 Step 1 and 2 only exist in case of DL data arrival.
3. The UE sends RRCResumeRequest message either upon RAN-based paging, UL data arrival or RNA update.
4. The gNB-DU includes RRCResumeRequest in a non-UE associated INITIAL UL RRC MESSAGE TRANSFER
message and transfer to the gNB-CU.
5. For UE Inactive to UE Active transitions, excluding transitions due to signalling exchange only, the gNB-CU
allocates gNB-CU UE F1AP ID and sends UE CONTEXT SETUP REQUEST message to gNB-DU, which may
include SRB ID(s) and DRB ID(s) to be setup, CellGroupConfig stored in gNB-CU or retrieved from the old
NG-RAN node may also be included. In case of NG-RAN sharing, the gNB-CU includes the serving PLMN ID
(in case of SNPNs the serving NID).
6. The gNB-DU responds with UE CONTEXT SETUP RESPONSE message, which contains RLC/MAC/PHY
configuration of SRB and DRBs provided by the gNB-DU.
NOTE:
 Step 5 and step 6 exist for inactive to active transitions, excluding transitions due to signalling exchange
only. When gNB-CU successfully retrieves and verifies the UE context, it may decide to let the UE enter
into RRC active mode. gNB-CU shall trigger UE context setup procedure between gNB-CU and gNB-
DU, during which both SRB1, SRB2 and DRB(s) can be setup. For signalling exchange only transitions,
gNB-CU does not trigger UE Context Setup procedure. For inactive to Idle transitions the gNB-CU does
not trigger the UE Context Setup procedure.
7. The gNB-CU generates RRCResume/RRCSetup/RRCReject/RRCRelease message or receives RRCRelease
message from the old NG-RAN node towards the UE. The RRC message is encapsulated in DL RRC
MESSAGE TRANSFER message together with SRB ID.
8. The gNB-DU forwards RRC message to the UE either over SRB0 or SRB1 as indicated by the SRB ID.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 56
 ETSI TS 138 401 V17.6.0 (2023-10)
NOTE:
In step 7, it is expected that gNB-CU takes appropriate action, e.g. generates RRC resume message for
inactive to active state transition(for both cases of signaling exchange only, and UP data exchange),
generates RRCSetup message for fallback to establish a new RRC connection, and generates or receives
from the old NG-RAN node either RRCRelease message without suspend configuration for inactive to
idle state transition, or RRCRelease message with suspend configuration to remain in inactive state.
If step 5 and 6 are not performed, the gNB-DU deduces the SRB on which to deliver the RRC message in
step 7 from the SRB ID, i.e. SRB ID “0” corresponds to SRB0, SRB ID “1” corresponds to SRB1.
9. The UE sends RRCResumeComplete/RRCSetupComplete message to the gNB-DU.
10. The gNB-DU encapsulates RRC in UL RRC MESSAGE TRANSFER message and send to the gNB-CU.
NOTE:
Step 9 and step 10 exist for inactive to active state transition (for both cases of signaling exchange only,
and UP data exchange). UE generates RRCResumeComplete/RRCSetupComplete message for resume the
existing RRC connection or fallback to a new RRC connection respectively.",66.png
Figure 8.7-1: RRC connection reestablishment procedure,"1. The UE sends a preamble to the gNB-DU.
2. The gNB-DU allocates new C-RNTI and responds with RAR.
3. The UE sends an RRCReestablishmentRequest message to the gNB-DU, which contains old C-RNTI and old
PCI.
4.The gNB-DU includes the RRC message and, if the UE is admitted, the corresponding low layer configuration
for the UE in the INITIAL UL RRC MESSAGE TRANSFER message and transfers to the gNB-CU. The
INITIAL UL RRC MESSAGE TRANSFER message includes the new C-RNTI. If the gNB-DU identifies the
UE as a Reduced Capability UE during the random access procedure, a NR RedCap UE Indication is provided in
the INITIAL UL RRC MESSAGE TRANSFER message.
5.The gNB-CU includes an RRCReestablishment message and transfers to the gNB-DU. If the UE requests to re-
establish RRC connection in the last serving gNB-DU, the DL RRC MESSAGE TRANSFER message shall
include old gNB-DU UE F1AP ID.
6. The gNB-DU retrieves the UE context based on the old gNB-DU UE F1AP ID, and replaces old C-RNTI/PCI
with new C-RNTI/PCI. It sends the RRCReestablishment message to UE.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 58
 ETSI TS 138 401 V17.6.0 (2023-10)
7-8. The UE sends an RRCReestablishmentComplete message to the gNB-DU. The gNB-DU encapsulates the
RRC message in the UL RRC MESSAGE TRANSFER message and sends to the gNB-CU.
9-10. The gNB-CU triggers an UE Context Modification procedure by sending UE CONTEXT MODIFICATION
REQUEST message, which may include DRBs to be modified and released list. The gNB-DU responses with the
UE CONTEXT MODIFICATION RESPONSE message.
9'-10'. The gNB-DU triggers an UE Context Modification procedure by sending UE CONTEXT MODIFICIATION
REQUIRED message, which may include DRBs to be modified and released list. The gNB-CU responses with
UE CONTEXT MODIFICATION CONFIRM message.
NOTE:
 Here it is assumed that the UE accessed the original gNB-DU where the UE context is available for that
UE, and either steps 9-10 or steps 9’-10’ may be executed or both could be skipped.
NOTE:
 If the UE accessed from a gNB-DU other than the original one, the gNB-CU should trigger the UE
Context Setup procedure toward this new gNB-DU.
11-12. The gNB-CU includes an RRCReconfiguration message into the DL RRC MESSAGE TRANSFER message
and transfers to the gNB-DU. The gNB-DU forwards it to the UE.
13-14. The UE sends an RRCReconfigurationComplete message to the gNB-DU, and the gNB-DU forwards it to the
gNB-CU.",67.png
"Figure 8.8-1: Managing multiple TNLAs for F1-C.
","The gNB-DU establishes the first TNLA with the gNB-CU using a configured TNL address.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 59
 ETSI TS 138 401 V17.6.0 (2023-10)
NOTE:
The gNB-DU may use different source and/or destination IP end point(s) if the TNL establishment
towards one IP end point fails. How the gNB-DU gets the remote IP end point(s) and its own IP address
are outside the scope of this specification.
2-3. Once the TNLA has been established, the gNB-DU initiates the F1 Setup procedure to exchange application
level configuration data.
4-6. The gNB-CU may add additional TNL Endpoint(s) to be used for F1-C signalling between the gNB-CU and
the gNB-DU pair using the gNB-CU Configuration Update procedure. The gNB-CU Configuration Update
procedure also allows the gNB-CU to request the gNB-DU to modify or release TNLA(s).
7-9. The gNB-DU may add additional TNL association(s) to be used for F1-C signalling using a gNB-CU
endpoint already in use for existing TNL associations between the gNB-CU and the gNB-DU pair. The gNB-DU
CONFIGURATION UPDATE message including the gNB-DU ID shall be the first F1AP message sent on an
additional TNLA of an already setup F1-C interface instance after the TNL association has become operational.
The F1AP UE TNLA binding is a binding between a F1AP UE association and a specific TNL association for a given
UE. After the F1AP UE TNLA binding is created, the gNB-CU can update the UE TNLA binding by sending the F1AP
message for the UE to the gNB-DU via a different TNLA. The gNB-DU shall update the F1AP UE TNLA binding with
the new TNLA. The gNB-DU Configuration Update procedure also allows the gNB-DU to inform the gNB-CU that the
indicated TNLA(s) will be removed by the gNB-DU.",68.png
Figure 8.9.1-1: UE Initial Access procedure involving E1 and F1,"UE Initial Access
The signalling flow for UE Initial access involving E1 and F1 is shown in Figure 8.9.1-1.Steps 1-8 are defined in clause 8.1.
9. The gNB-CU-CP sends the BEARER CONTEXT SETUP REQUEST message to establish the bearer
 context
in the gNB-CU-UP.
10 The gNB-CU-UP sends the BEARER CONTEXT SETUP RESPONSE message to the gNB-CU-CP, including
F1-U UL TEID and transport layer address allocated by the gNB-CU-UP.
Steps 11-13 are defined in clause 8.1.
14. The gNB-CU-CP sends the BEARER CONTEXT MODIFICATION REQUEST message to the gNB-CU-UP,
including F1-U DL TEID and transport layer address allocated by the gNB-DU.
15. The gNB-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message to the gNB-CU-CP.
Steps 16-22 are defined in clause 8.1.
NOTE:
 Steps 14-15 and steps 16-17 can happen in parallel, but both are before step 18.",69.png
"Figure 8.9.2-1: Bearer context setup over F1-U
","0. Bearer context setup (e.g., following an SGNB ADDITION REQUEST message from the MeNB) is triggered in
gNB-CU-CP.
1. The gNB-CU-CP sends a BEARER CONTEXT SETUP REQUEST message containing UL TNL address
information for S1-U or NG-U, and if required, DL TNL address information for X2-U to setup the bearer
context in the gNB-CU-UP. For NG-RAN, the gNB-CU-CP decides flow-to-DRB mapping and sends the
generated SDAP and PDCP configuration to the gNB-CU-UP.
NOTE:
 In case of Conditional Handover or Conditional PSCell Addition/Change, the BEARER CONTEXT
SETUP REQUEST message indicates to ignore the included security context and not to initiate sending
downlink packets until the UE successfully accesses. Up to implementation, the gNB-CU-CP may request
to establish bearer context as if a regular HO was requested.
2. The gNB-CU-UP responds with a BEARER CONTEXT SETUP RESPONSE message containing the UL TNL
address information for F1-U, and DL TNL address information for S1-U or NG-U, and if required, UL TNL
address information for X2-U or Xn-U.
NOTE:
 The indirect data transmission for split bearer through the gNB-CU-UP is not precluded.
3. F1 UE context setup procedure is performed to setup one or more bearers in the gNB-DU.
4. The gNB-CU-CP sends a BEARER CONTEXT MODIFICATION REQUEST message containing the DL TNL
address information for F1-U or Xn-U, and PDCP status.
5. The gNB-CU-UP responds with a BEARER CONTEXT MODIFICATION RESPONSE message.",70.png
Figure 8.9.3.1-1: Bearer context release over F1-U – gNB-CU-CP initiated,"0. Bearer context release (e.g., following an SGNB RELEASE REQUEST message from the MeNB) is triggered in
gNB-CU-CP.
1. The gNB-CU-CP sends a BEARER CONTEXT MODIFICATION REQUEST message to the gNB-CU-UP.
2. The gNB-CU-UP responds with a BEARER CONTEXT MODIFICATION RESPONSE carrying the PDCP
UL/DL status.
3. F1 UE context modification procedure is performed to stop the data transmission for the UE. It is up to gNB-DU
implementation when to stop the UE scheduling.
NOTE: step 1-3 are performed only if the PDCP status of the bearer(s) needs to be preserved e.g., for bearer type
change.
4. The gNB-CU-CP may receive the UE CONTEXT RELEASE message from the MeNB in EN-DC operation as
described in clause 8.4.2.1.
5. and 7. Bearer context release procedure is performed.
6. F1 UE context release procedure is performed to release the UE context in the gNB-DU.",71.png
"Figure 8.9.3.2-1: Bearer context release over F1-U – gNB-CU-UP initiated
","0. Bearer context release is triggered in gNB-CU-UP e.g., due to local failure.
1. The gNB-CU-UP sends a BEARER CONTEXT RELEASE REQUEST message to request the release of the
bearer context in the gNB-CU-UP. This message may contain the PDCP status.
2.- 5. If the PDCP status needs to be preserved, the E1 Bearer Context Modification and the F1 UE Context
Modification procedures are performed. The E1 Bearer Context Modification procedure is used to convey data
forwarding information to the gNB-CU-UP. The gNB-CU-CP may receive the UE Context Release from the
MeNB.
6. The gNB-CU-CP sends a BEARER CONTEXT RELEASE COMMAND message to release the bearer context in
the gNB-CU-UP.
7. The gNB-CU-UP responds with a BEARER CONTEXT RELEASE COMPLETE to confirm the release of the
bearer context including also data forwarding information.
8. F1 UE context release procedure may be performed to release the UE context in the gNB-DU.",72.png
"Figure 8.9.4-1: Inter-gNB handover involving gNB-CU-UP change
","1. The source gNB-CU-CP sends HANDOVER REQUEST message to the target gNB-CU-CP. In case of
Conditional Handover, the target gNB is regarded as a candidate gNB which is only accessed by the UE when
the CHO condition(s) are fulfilled.
2-4.
 Bearer Context Setup procedure is performed as described in clause 8.9.2.
5. The target gNB-CU-CP responds the source gNB-CU-CP with an HANDOVER REQUEST ACKNOWLEDGE
message.
NOTE:
 In case of Conditional Handover, it is up to target gNB-CU-CP implementation to make sure that the
EARLY STATUS TRANSFER information is forwarded to the right gNB-CU-UP (e.g. separate UE-
associated signalling connection over Xn interface for each gNB-CU-UP).
6. The F1 UE Context Modification procedure is performed to send the handover command to the UE, and to
indicate to stop the data transmission for the UE.
NOTE:
 In case of DAPS Handover or Conditional Handover, the F1 UE Context Modification procedure in step 6
does not indicate to stop the data transmission for the UE. Instead, the F1 DL RRC Message Transfer
procedure can be used which carries the handover command to the UE.
7-8. Bearer Context Modification procedure (gNB-CU-CP initiated) is performed to enable the gNB-CU-CP to
retrieve the PDCP UL/DL status and to exchange data forwarding information for the bearer.
9. The source gNB-CU-CP sends an SN STATUS TRANSFER message to the target gNB-CU-CP.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 65
 ETSI TS 138 401 V17.6.0 (2023-10)
NOTE:
In case of DAPS Handover, the EARLY STATUS TRANSFER message is sent for DRBs configured
with DAPS instead of the SN STATUS TRANSFER message.
NOTE:
In case of Conditional Handover, the EARLY STATUS TRANSFER message is sent only if early data
forwarding is applied.
NOTE:
The COUNT related info for the EARLY STATUS TRANSFER message is retrieved from the source
gNB-CU-UP via the steps 7/8.
10-11. Bearer Context Modification procedure is performed as described in clause 8.9.2. The target gNB-CU-CP
does not transfer the PDCP UL/DL status carried from the SN STATUS TRANSFER message to the target gNB-
CU-UP if the PDCP status does not need to be preserved (e.g. full configuration). In case of DAPS Handover or
Conditional Handover, the COUNT related info carried by the EARLY STATUS TRANSFER message is
provided to the target gNB-CU-UP.
12. Data Forwarding may be performed from the source gNB-CU-UP to the target gNB-CU-UP.
NOTE:
In case of Conditional Handover, the UE performs RACH when the CHO condition(s) are fulfilled. Once
successfully accessed, the target gNB-DU sends an ACCESS SUCCESS message to inform the target
gNB-CU-CP of which cell the UE has accessed through. The target gNB-CU-CP may forward to the
target gNB-CU-UP, necessary information for sending downlink packets (i.e. DL TNL address
information for F1-U and UP security information corresponding to the accessed cell), via a Bearer
context modification procedure. The target gNB-CU-CP may initiate Bearer context release procedure
toward the other signalling connections or other candidate target gNB-CU-UPs, if any, to release the
prepared conditional handover resources for the UE.
12a. In case of DAPS Handover or Conditional Handover, the target gNB-CU-CP sends the HANDOVER
SUCCESS message to the source gNB-CU-CP to inform that the UE has successfully accessed the target cell.
12b In case of DAPS Handover or Conditional Handover, the F1 UE Context Modification procedure is
performed to indicate to stop the data transmission for the UE.
12c-12d. In case of DAPS Handover or Conditional Handover, the Bearer context modification procedure (gNB-
CU-CP initiated) is performed to indicate the source gNB-CU-UP to stop packet delivery and also to retrieve the
PDCP UL/DL status.
12e. In case of DAPS Handover or Conditional Handover, the source gNB-CU-CP sends the SN STATUS
TRANSFER message to the target gNB-CU-CP.
12f-12g. In case of DAPS Handover or Conditional Handover, the Bearer context modification procedure is
performed to provide the PDCP UL/DL status to the target gNB-CU-UP only if the PDCP status needs to be
preserved as described in TS 38.300 [2].
NOTE:
 In case of Conditional Handover, inactivity monitoring is performed after step 12g.
13-15. Path Switch procedure is performed to update the DL TNL address information for the NG-U towards the
core network.
16. The target gNB-CU-CP sends an UE CONTEXT RELEASE message to the source gNB-CU-CP.
17. and 19. Bearer Context Release procedure is performed.
18. F1 UE Context Release procedure is performed to release the UE context in the source gNB-DU.",73.png
"Figure 8.9.5-1: Change of gNB-CU-UP
","1. Change of gNB-CU-UP is triggered in gNB-CU-CP based on e.g., measurement report from the UE.
2-3.
 Bearer Context Setup procedure is performed as described in clause 8.9.2.
4. F1 UE Context Modification procedure is performed to change the UL TNL address information for F1-U for
one or more bearers in the gNB-DU.
5-6. Bearer Context Modification procedure (gNB-CU-CP initiated) is performed to enable the gNB-CU-CP to
retrieve the PDCP UL/DL status and to exchange data forwarding information for the bearer.
7-8.
 Bearer Context Modification procedure is performed as described in clause 8.9.2.
9. Data Forwarding may be performed from the source gNB-CU-UP to the target gNB-CU-UP.
10-12. PDU Session Resource Modify Indication procedure is performed to update the DL TNL address information
for the NG-U towards the core network.
13-14. Bearer Context Release procedure (gNB-CU-CP initiated) is performed as described in clause 8.9.3.",74.png
Figure 8.9.6.1-1: RRC Connected to RRC Inactive state transition.,"1. The gNB-CU-CP sends BEARER CONTEXT SETUP REQUEST message with UE/PDU session/DRB level
inactivity timer.
2. The gNB-CU-UP sends BEARER CONTEXT SETUP RESPONSE message.
3. The gNB-CU-UP sends BEARER CONTEXT INACTIVITY NOTIFICATION message with inactivity
monitoring results.
4. The gNB-CU-CP determines that the UE should enter RRC-inactive (e.g., after receiving Bearer Context
Inactivity Notification procedure).
5. The gNB-CU-CP sends BEARER CONTEXT MODIFICATION REQUEST message with a Bearer Context
Status Change to the gNB-CU-UP, which indicates that the UE is entering RRC-inactive state. The gNB-CU-CP
keeps the F1 UL TEIDs.
6. The gNB-CU-UP sends the BEARER CONTEXT MODIFICATION RESPONSE message including the PDCP
UL and DL status that may be needed for e.g., data volume reporting. The gNB-CU-UP keeps the Bearer
Context, the UE-associated logical E1-connection, the NG-U related resource (e.g., NG-U DL TEIDs) and the
F1 UL TEIDs.
7. The gNB-CU-CP sends the UE CONTEXT RELEASE COMMAND message to the gNB-DU serving the UE,
together with the RRCRelease message to be sent to the UE.
NOTE: step 5 and step 7 can be performed at the same time.
8. The gNB-DU sends the RRCRelease message to the UE.
9. The gNB-DU sends the UE CONTEXT RELEASE COMPLETE message to the gNB-CU-CP.",75.png
"Figure 8.9.6.2-1: RRC Inactive to RRC Connected state transition.
","0. The gNB-CU-UP receives DL data on NG-U interface.
1. The gNB-CU-UP sends DL DATA NOTIFICATION message to the gNB-CU-CP.
2. The gNB-CU-CP sends PAGING message to the gNB-DU.
3. The gNB-DU sends the Paging message to the UE.
NOTE: steps 0-3 are needed only in case of DL data.
4. The UE sends RRCResumeRequest message either upon RAN paging or UL data arrival.
5. The gNB-DU sends the INITIAL UL RRC MESSAGE TRANSFER message to the gNB-CU-CP.
6. The gNB-CU-CP sends UE CONTEXT SETUP REQUEST message including the stored F1 UL TEIDs to create
the UE context in the gNB-DU.
7. The gNB-DU responds with the UE CONTEXT SETUP RESPONSE message including the F1 DL TEIDs
allocated for the DRBs.
8. The gNB-CU-CP and the UE perform the RRC-Resume procedure via the gNB-DU.
9. The gNB-CU-CP sends BEARER CONTEXT MODIFICATION REQUEST message with a RRC Resume
indication, which indicates that the UE is resuming from RRC-inactive state. The gNB-CU-CP also includes the
F1 DL TEIDs received from the gNB-DU in step 7.
10. The gNB-CU-UP responds with theBEARER CONTEXT MODIFICATION RESPONSE message.
NOTE steps 8 and 9 can be performed in parallel.",76.png
Figure 8.9.6-1: Trace activation/deactivation over F1 and E1," The gNB-CU-CP receives a TRACE START message from the AMF or the MeNB (in case of EN-DC).
2. The gNB-CU-CP initiates the Trace Start procedure by sending a TRACE START message to the gNB-DU, the
gNB-CU-UP or both.
3. Upon reception of the TRACE START message, the gNB-DU, the gNB-CU-UP or both initiate the requested
trace session and report it as described in TS 32.422 [20].
4. The gNB-CU-CP receives a DEACTIVATE TRACE message from the AMF or the MeNB (in case of EN-DC).
5. The gNB-CU-CP initiates the Deactivate Trace procedure by sending a DEACTIVATE TRACE message to the
gNB-DU, the gNB-CU-UP or both.
6. Upon reception of the DEACTIVATE TRACE message, the gNB-DU, the gNB-CU-UP or both stop the trace
session for the indicated trace reference.",77.png
